Opened file: D:\pol\Fedorchak_seedwords.txt
Enter the graph file name!
Opened file: D:\pol\karav1.txt
# of positive seed words: 537 
# of negative seed words: 130 
# of neutral seed words: 123
самодіючий[+:0 -:0 0:0 I:5]
автомобіль[+:1 -:0 0:0 I:4]
авто[+:3 -:0 0:0 I:4]
автомашина[+:2 -:0 0:0 I:4]
машина[+:1 -:0 0:0 I:3]
самохід[+:1 -:0 0:0 I:5]
самотяг[+:1 -:0 0:0 I:5]
самопер[+:1 -:0 0:0 I:5]
автономія[+:2 -:0 0:0 I:3]
самоврядування[+:1 -:0 0:0 I:4]
самостійність[+:1 -:0 0:0 I:2]
незалежність[+:2 -:0 0:0 I:2]
непідпорядкованість[+:1 -:0 0:0 I:4]
автопсія[+:1 -:0 0:0 I:2]
розтин[+:2 -:0 0:0 I:2]
секція[+:2 -:0 0:0 I:1]
автор[+:3 -:0 0:0 I:3]
творець[+:3 -:0 0:0 I:3]
сотворитель[+:3 -:0 0:0 I:3]
винахідник[+:2 -:0 0:0 I:4]
проектувальник[+:1 -:0 0:0 I:4]
укладач[+:3 -:0 0:0 I:4]
упорядник[+:4 -:0 0:0 I:3]
поет[+:2 -:0 0:0 I:2]
віршомаз[+:2 -:0 0:0 I:3]
письменник[+:2 -:0 0:0 I:3]
писака[+:3 -:0 0:0 I:4]
авторитарний[+:3 -:0 0:0 I:4]
диктаторський[+:1 -:0 0:0 I:4]
самодержавний[+:1 -:0 0:0 I:3]
автократичний[+:1 -:0 0:0 I:5]
монархічний[+:1 -:0 0:0 I:3]
тоталітарний[+:2 -:0 0:0 I:5]
тоталітаристичний[+:1 -:0 0:0 I:5]
деспотичний[+:1 -:0 0:0 I:4]
тиранічний[+:1 -:1 0:0 I:3]
авторитет[+:8 -:0 0:0 I:2]
престиж[+:4 -:0 0:0 I:3]
репутація[+:3 -:0 0:0 I:2]
вага[+:7 -:0 0:0 I:2]
значення[+:2 -:0 0:0 I:1]
вплив[+:3 -:0 0:0 I:2]
знавець[+:5 -:0 0:0 I:3]
фахівець[+:4 -:0 0:0 I:3]
спеціяліст[+:5 -:0 0:0 I:3]
спец[+:4 -:0 0:0 I:3]
ерудит[+:5 -:0 0:0 I:3]
повага[+:2 -:0 0:0 I:3]
довіра[+:3 -:0 0:0 I:3]
авторитетний[+:6 -:0 0:0 I:2]
престижевий[+:1 -:0 0:0 I:3]
престижний[+:1 -:0 0:0 I:3]
впливовий[+:1 -:0 0:0 I:2]
поважний[+:9 -:0 0:0 I:1]
ваговитий[+:4 -:1 0:0 I:2]
ерудований[+:2 -:0 0:0 I:3]
кваліфікований[+:5 -:0 0:0 I:2]
що_знає_діло[+:1 -:0 0:0 I:3]
упевнений[+:6 -:0 0:0 I:3]
абориген[+:2 -:0 0:0 I:4]
авул[+:1 -:0 0:0 I:4]
село[+:4 -:0 0:0 I:3]
агнець[+:0 -:0 0:0 I:-1]
ягня[+:0 -:0 0:0 I:-1]
ягнятко[+:0 -:0 0:0 I:-1]
агов[+:1 -:0 0:0 I:1]
агу[+:1 -:0 0:0 I:2]
агей[+:1 -:0 0:0 I:2]
гей[+:1 -:0 0:0 I:2]
ей[+:1 -:0 0:0 I:2]
галло[+:2 -:0 0:0 I:2]
увага[+:1 -:0 0:0 I:0]
агонія[+:0 -:1 0:0 I:4]
конання[+:0 -:1 0:0 I:5]
мука[+:0 -:4 0:0 I:3]
передсмертя[+:0 -:1 0:0 I:5]
умирання[+:0 -:1 0:0 I:5]
аґент[+:3 -:2 0:0 I:3]
шпигун[+:2 -:1 0:0 I:3]
шпиг[+:2 -:0 0:0 I:4]
розвідник[+:0 -:1 0:0 I:2]
розвідач[+:1 -:1 0:0 I:3]
розвідувач[+:1 -:1 0:0 I:3]
донощик[+:2 -:0 0:0 I:4]
інформатор[+:3 -:0 0:0 I:4]
конфідент[+:3 -:0 0:0 I:4]
нюхало[+:1 -:0 0:0 I:4]
стукач[+:3 -:0 0:0 I:4]
сексот[+:2 -:0 0:0 I:4]
фіскал[+:5 -:0 0:0 I:4]
провокатор[+:3 -:0 0:0 I:3]
представник[+:1 -:0 0:0 I:2]
репрезентант[+:2 -:0 0:0 I:2]
виконавець[+:1 -:2 0:0 I:3]
службовець[+:3 -:0 0:0 I:3]
працівник[+:2 -:0 0:0 I:2]
комівояжер[+:1 -:0 0:0 I:4]
чинник[+:4 -:0 0:0 I:3]
фактор[+:2 -:0 0:0 I:4]
причина[+:0 -:3 0:0 I:2]
аґентство[+:1 -:0 0:0 I:1]
агенція[+:1 -:0 0:0 I:2]
філія[+:2 -:0 0:0 I:2]
відділок[+:3 -:0 0:0 I:2]
відділення[+:3 -:0 0:0 I:2]
бюро[+:4 -:0 0:0 I:1]
заклад[+:1 -:0 0:0 I:0]
контора[+:2 -:0 0:0 I:2]
агітатор[+:1 -:0 0:2 I:4]
пропагандист[+:0 -:0 0:1 I:5]
пропагатор[+:0 -:0 0:1 I:5]
скоробреха[+:0 -:0 0:1 I:3]
підбрехач[+:0 -:0 0:1 I:3]
окозамилювач[+:1 -:0 0:0 I:4]
аґітувати[+:2 -:0 0:0 I:3]
вести_агітацію[+:1 -:0 0:0 I:4]
умовляти[+:1 -:1 0:0 I:2]
переконувати[+:3 -:0 0:0 I:2]
проповідувати[+:5 -:0 0:0 I:4]
закликати_до[+:2 -:0 0:0 I:4]
аґресивний[+:1 -:0 0:1 I:3]
напасницький[+:0 -:0 0:0 I:4]
загарбницький[+:0 -:0 0:0 I:4]
нападницький[+:0 -:0 0:0 I:4]
войовничий[+:1 -:0 0:0 I:4]
завойовницький[+:0 -:0 0:0 I:4]
напасливий[+:4 -:0 0:0 I:4]
здобувчий[+:0 -:0 0:0 I:4]
наступальний[+:1 -:0 0:0 I:3]
ворожий[+:0 -:0 0:1 I:2]
аґресія[+:1 -:1 0:0 I:2]
напад[+:1 -:0 0:0 I:1]
вдертя[+:0 -:0 0:0 I:3]
вломлення[+:0 -:0 0:0 I:3]
вторгнення[+:0 -:0 0:0 I:3]
інвазія[+:2 -:0 0:0 I:2]
експансія[+:0 -:1 0:0 I:3]
війна[+:0 -:2 0:0 I:1]
аґресор[+:1 -:0 0:0 I:4]
загарбник[+:2 -:0 0:0 I:4]
завойовник[+:2 -:0 0:0 I:5]
здобувець[+:1 -:0 0:0 I:3]
конкістадор[+:2 -:0 0:0 I:5]
вломник[+:1 -:0 0:0 I:5]
окупант[+:2 -:1 0:0 I:4]
адаптувати[+:4 -:0 0:0 I:4]
пристосовувати[+:4 -:0 0:0 I:3]
припасовувати[+:1 -:0 0:0 I:3]
приладжувати[+:3 -:0 0:0 I:3]
прилаштовувати[+:3 -:0 0:0 I:3]
акліматизувати[+:1 -:0 0:0 I:5]
принатурювати[+:1 -:0 0:0 I:5]
спрощу_вати-скорочувати[+:1 -:0 0:0 I:5]
адвентисти[+:0 -:0 0:0 I:-1]
суботники[+:0 -:0 0:0 I:-1]
сектанти[+:0 -:0 0:0 I:-1]
штунди[+:0 -:0 0:0 I:-1]
адвокат[+:4 -:0 0:0 I:3]
юрист[+:2 -:0 0:0 I:4]
правник[+:2 -:0 0:0 I:4]
присяжний_повірений[+:1 -:0 0:0 I:4]
повірник[+:3 -:0 0:0 I:4]
оборонець[+:5 -:0 0:0 I:3]
захисник[+:5 -:0 0:0 I:2]
заступник[+:3 -:0 0:1 I:2]
адекватний[+:2 -:1 0:0 I:2]
відповідний[+:2 -:0 0:1 I:1]
тотожний[+:1 -:1 0:0 I:2]
рівнозначний[+:1 -:2 0:0 I:3]
рівний_з[+:1 -:0 0:0 I:3]
точнісінький[+:2 -:1 0:0 I:3]
такий_самий[+:1 -:1 0:0 I:2]
достотний[+:6 -:2 0:0 I:3]
достеменний[+:2 -:1 0:1 I:2]
викапаний[+:3 -:0 0:0 I:2]
око-в-око[+:1 -:0 0:1 I:2]
адепт[+:6 -:0 0:0 I:3]
прибічник[+:3 -:0 0:0 I:3]
прихильник[+:4 -:0 0:0 I:3]
послідовник[+:6 -:0 0:0 I:3]
визнавець[+:3 -:0 0:0 I:3]
ревнитель[+:4 -:0 0:0 I:4]
адміністрація[+:1 -:0 0:0 I:1]
керівництво[+:3 -:0 0:0 I:1]
провід[+:6 -:0 0:0 I:1]
начальство[+:4 -:0 0:0 I:2]
керівники[+:2 -:0 0:0 I:2]
провідники[+:1 -:0 0:0 I:2]
начальники[+:2 -:0 0:0 I:2]
зверхники[+:1 -:0 0:0 I:2]
шефи[+:1 -:0 0:0 I:2]
апарат[+:1 -:0 0:0 I:2]
управа[+:4 -:0 0:0 I:1]
управління[+:1 -:0 0:0 I:0]
уряд[+:5 -:0 0:0 I:1]
командування[+:1 -:0 0:0 I:2]
урядування[+:1 -:0 0:0 I:2]
адміністрування[+:2 -:0 0:0 I:1]
адресат[+:0 -:0 0:0 I:-1]
одержувач[+:0 -:0 0:0 I:-1]
відборець[+:0 -:0 0:0 I:-1]
аеродром[+:0 -:0 0:0 I:-1]
летовище[+:0 -:0 0:0 I:-1]
аеропорт[+:0 -:0 0:0 I:-1]
аероплян[+:1 -:0 0:0 I:3]
літак[+:1 -:0 0:0 I:2]
літальний_апарат[+:1 -:0 0:0 I:4]
плянер[+:2 -:0 0:0 I:3]
моноплян[+:1 -:0 0:0 I:4]
біплям[+:1 -:0 0:0 I:4]
вертогелікоптер[+:1 -:0 0:0 I:4]
оса[+:2 -:0 0:0 I:4]
муха[+:1 -:0 0:0 I:4]
блоха[+:1 -:1 0:0 I:4]
аероплан[+:1 -:0 0:0 I:4]
аж[+:1 -:1 0:1 I:1]
навіть[+:1 -:0 0:0 I:0]
ажень[+:0 -:0 0:0 I:2]
коли_це[+:0 -:0 0:0 I:2]
як_ось[+:0 -:0 0:0 I:2]
раптом[+:4 -:0 0:0 I:2]
коли_ж[+:0 -:0 0:0 I:2]
поки[+:0 -:1 0:0 I:0]
доти[+:0 -:0 0:1 I:2]
аж-аж-аж[+:0 -:0 0:0 I:1]
дуже[+:1 -:0 0:1 I:0]
страшно[+:0 -:1 0:0 I:1]
страшенно[+:1 -:0 0:1 I:1]
ажіотаж[+:3 -:0 0:0 I:4]
збудження[+:5 -:0 0:0 I:3]
хвилювання[+:1 -:0 0:0 I:3]
гарячка[+:7 -:0 0:0 I:3]
лихоманка[+:3 -:0 0:0 I:4]
ажурний[+:5 -:0 0:0 I:3]
прозорий[+:7 -:1 0:0 I:2]
просвітчастий[+:1 -:0 0:0 I:4]
про-зористий[+:1 -:0 0:0 I:4]
ґратчастий[+:1 -:0 0:0 I:4]
мереживний[+:1 -:0 0:0 I:4]
тендітний[+:5 -:0 0:0 I:3]
делікатний_тонкий[+:1 -:0 0:0 I:4]
